Name,Born,Died,Age,Age at Death,Gender,Marital Status,Category,Class,Group,Ticket,Cabin,Embarked,Disembarked
Sloan Peter,1881,1912,31,31,Male,Married,Crew,Engine,,,,Belfast,
Sloan Thomas,,,,,Male,,Crew,Deck,,,,Belfast,Southampton
Slocombe Maude Louise,1881,1967,30,85,Female,Married,Crew,Victualling,,,,Southampton,New York City
Small William McMillan,1870,1912,42,42,Male,Married,Crew,Engine,,,,Southampton,
Smillie John Downing,1883,1912,28,28,Male,Single,Crew,Victualling,,,,Belfast,
Smith Charles Edwin,1872,1912,38,38,Male,Married,Crew,Victualling,,,,Southampton,
Smith Charles Henry James,1867,1912,45,45,Male,Married,Crew,Victualling,,,,Southampton,
Smith Ernest George,1885,1912,27,27,Male,Single,Crew,Engine,,,,Southampton,
Smith James Muil,1873,1912,39,39,Male,Married,Crew,Engine,,,,Belfast,
Smith James William,1887,1912,24,24,Male,Single,Crew,Victualling,,,,Southampton,
Smith Joseph,1887,,25,,Male,,Crew,Engine,,,,Belfast,Southampton
Smith Kate Elizabeth,1866,1947,45,80,Female,Single,Crew,Victualling,,,,Southampton,New York City
Smith Reginald George,1879,1912,33,33,Male,Single,Crew,Victualling,,,,Southampton,
